,index,X,Y,subreg,hostility_d,victim_d,description,hostilitytype_l,victim_l,navarea,year,month,day
10,10,-44.13333329988129,-22.8999999997657,24,pirates,containership zim montevideo,"brazil:                                                                                                                                       the 15,922-ton antigua flagged containership (zim montevideo) was      robbed while docked in guanabara bay, rio de janeiro, brazil in the    early hours of 22 oct 97. aprox 15 men were dressed in scuba gear and  armed with sub machine guns, boarded the ship from small boats using   ropes to scale the side. the thieves took electronic equipment from a  container.",pirate_assaults,cargo_ship,v,1997,10,22
11,11,120.916664000161,14.48333400014,91,pirates,containership yi he,"philippines                                                                                                                                        the 21,609 ton chinese flag containership yi he was boarded       in manilla bay 17 oct 97 by four armed men operating from a small      boat. the crew of 30 was held at gunpoint while being robbed of their  valuables, and an engineer was shot & killed when he resisted. the     ship's cargo was not touched.",pirate_assaults,cargo_ship,xi,1997,10,17
12,12,101.000000000014,12.2833333000365,93,pirates,cargo ship trono,"thailand                                                                    the 10,967 ton panamanian flag cargo ship trono was attacked      by pirates during the night of 30 sep 97 near map-ta-phut, thailand.   stores and money were stolen but no injuries reported to the crew.",pirate_assaults,cargo_ship,xi,1997,09,30
13,13,103.499999999646,1.14999999997781,71,pirates,tanker northseas bellows,"straits of malacca                                                                                                                                 the 43,398 ton danish flag tanker northsea bellows was attacked   in the singapore straits area of the straits of malacca in the         morning of 04 nov 97. three intruders were discovered onboard and      leaped overboard after doing minor damage to the ship's accomodation   and two doors. the ship was enroute from the arabian gulf to japan.",pirate_assaults,tanker,xi,1997,11,04
14,14,101.166666700411,7.2499999999053,93,pirates,tanker oriental city,"thailand                                                                                                                                           the 192 ton honduran flag tanker oriental city was seized by      pirates in international waters in the gulf of thailand off songkhla   on 26 oct 97. the ship was carrying aprox 1 million liters of diesel   fuel and was located after a seven hour search by thai naval ships.    the ship was recovered about 200 miles south east of songkhla, thai    naval personnel arrested three indonesians and eight thais who were    in control of the ship.",pirate_assaults,tanker,xi,1997,10,26
15,15,70.22499999976111,23.0361110999631,63,pirates,normar splendour,"india - roads of kandla                                                                                                                       the 4,159 gross ton liberian-flagged tanker (normar splendour) was     boarded by pirates at 0100 local time while it was in the roads of     kandla, india on 09 aug 1997. upon hearing the ship's alarm the        pirates fled but were able to steal one television set. there were no  injuries to the crew.",pirate_assaults,vessel,viii,1997,08,09
16,16,41.999999999905,13.999999999898801,62,pirates,yacht poloflat,red sea: eritrrea-zubayr islands                                                                                                                   the australian-flag yacht poloflat had been attacked by pirates   while on the red sea close to the zubayr islands. the attackers in     small boats fired at the yacht damaging its sails but did not injure   any personnel onboard. the yacht skipper defended himself with home    made molotov cocktails after which the attackers desisted.,pirate_assaults,sailing_vessel,ix,1997,11,08
17,17,14.550000000231302,35.816665999569395,53,assailants,merchant vessel,"mediterranean sea                                                                                                                             malta: the bunkering vessel (seagull) (nfi) was boarded in port at     hay wharf, marsamxett, malta at 1230 16aug97 by two men who stole      cash, checks and credit cards after tying up a watchman and            ransacking the vessel's safe.",pirate_assaults,merchant_vessel,iii,1997,08,16
18,18,-79.88333100034691,-2.20000000008554,22,assailants,merchant vessel,"ecuador                                                                                                                                       the 17,367 gross ton bahamian flagged general cargo ship (illapel)     was boarded by two armed robbers while it was at anchor in the outer   roads of guayaquil, ecuador on 15aug97. at 0120 local time two armed   robbers climbed aboard the ship from the starboard side near the       forecastle. the robbers were noticed by a watchman and the alarm was   sounded. the robbers then jumped overboard and were picked up by a     waiting boat. four containers were unsealed but none of them opened.   there were no injuries. the local authorities were notified and four   armed watchmen were sent and arrived onboard at 0350.",pirate_assaults,merchant_vessel,xii,1997,08,15
19,19,114.09499999991199,22.3049999996143,93,assailants,merchant vessel,"thailand                                                                                                                                      the 11,356 gross ton maltese flag bulk carrier (aro) was boarded by    approximatetly five to eight persons while at the laem chabang         anchorage. the boarding occured at 0300 20aug97 and was accomplished   using a line with a grappling hook. the intruders were seen by the     watchmen and the duty officer who sounded the ship's alarm. the        thieves damaged the paint locker and the forecastle lock and took      15 tins of paint and an hatch tarpaulin.",pirate_assaults,merchant_vessel,xi,1997,08,20
20,20,9.683333000298381,4.05000000034141,57,assailants,merchnant vessel,"cameroon, port douala.                                                                                                                        the 12,445 gross ton bahamas-flag container ship (cmbt express), was   boarded in port at douala, cameroon by a group armed with knives at    0330 23 aug. the intruders opened four twenty-foot containers with     mixed cargo and were carrying off the contents when they were chased   by the ship's crew.",pirate_assaults,merchant_vessel,ii,1997,08,23
21,21,88.3374999998184,22.569166699616105,63,pirates,yun cheng,on 10 oct 95 the chinese-flagged general cargo ship yun cheng          was boarded by two armed pirates while in the hooghly river            proceeding to calcutta. the pirates departed within 15 minutes.        the crew was unharmed. there were no reports on items or money         stolen.,pirate_assaults,vessel,viii,1995,10,10
22,22,114.68333400014299,22.066668000341,93,assailants,president harrison,"on 10 aug 95, at 1930 local time, the u.s.-flagged containership       president harrison took evasive action and outmaneuvered a             threatening speedboat. the incident took place in 22-04n 114-41e,      about 40nm southeast of hong kong, in the international waters of the  northern south china sea. lookouts informed the bridge of the          approaching speedboat.",pirate_assaults,vessel,xi,1995,08,10
23,23,79.80000300000658,6.94999999980564,63,pirates,nedlloyd sao paulo,"on 02 aug 95, at 2010 local time, while at anchor in colombo roads     1.5nm from the port entrance breakwater, the german-flagged            containership nedlloyd sao paula was boarded by 20 pirates. the        roving deckwatch sighted seven boats tied alongside the ship and       immediately notified the bridge. the bridge alerted the entire crew    at which point the pirates jumped off the vessel and returned to       their boats. the pirates broke into ten containers.",pirate_assaults,vessel,viii,1995,08,02
24,24,108.08333599984199,0.750000000144723,71,pirates,essberger pilot,"on 22 aug 95, at about 2200 local time, while enroute to labuan,       malaysia the singaporean-flagged chemical tanker essberger pilot       was boarded by pirates in 00-45n 108-05e. the pirates attempted to     gain access to crew accommodations through main doors and aft          steering flat. pirates could not gain entry to accommodations          as these areas were secured.",pirate_assaults,vessel,xi,1995,08,22
25,25,-43.16666800006289,-22.8999999997657,24,pirates,nedlloyd cristobal,"on 23 aug 95, at 0345 local time, six pirates boarded the              bahamian-flagged general cargo ship nedlloyd cristobal while           anchored in rio de janeiro inner roads. the master sounded the         general alarm, placed the ship's whistle in automatic mode, and        notified port authorities. the crew locked doors and hid in their      cabins. after 1.5 hours the pirates left the vessel. no injuries       reported and no signs of damage or theft.                              at 1950 local time the same day, pirates attacked the vessel while     berthed at tecont quay. using firearms the pirates took the master     and five crewmen hostage. the pirates discharged cargo of cigarettes   from a container into a launch on the sea side. upon completion the    pirates escaped by launch and the gangway.",pirate_assaults,vessel,v,1995,08,23
26,26,-82.6333310002109,14.3666670001358,28,thieves,f/v lady diana,"on 16 aug 95 thieves boarded the honduran-flagged fishing vessel       lady diana off cayos miskitos, approximately 40nm off the              nicaraguan coast. the ship's catch was stolen and the crew robbed.     a similiar attack occurred against another unnamed fishing vessel,     owned by the same company, on 21 aug 95. boardings and robberies       against fishing vessels committed by small bands of armed thieves,     using small and fast speedboats, are reportedly prevalent in this      area.",pirate_assaults,fishing_vessel,iv,1995,08,16
27,27,-66.550000000323,16.6500000000294,25,stowaways,gur maiden,"on 20 jul 95 stowaways aboard the bahamian-flagged general cargo       ship gur maiden overtook the crew and demanded passage to the          united states. the ship departed rio haina, dominican republic on      17 jul enroute freeport, bahamas. it is unclear whether the crew       or u.s. coast guard thwarted the attempted hijacking.",other,vessel,iv,1995,07,20
28,28,80.0833333000708,9.26666669986713,63,rebels,irish mona,"on 28 aug 95 the sri lankan ferry irish mona was hijacked by tamil     rebels. on 29 aug 95 the rebels used the ferry to lure and sink        two sri lankan naval patrol boats off mullaitivu (09-16n 080-05e),     north of trincomalee on the east coast of sri lankan. the ferry        normally conducts transports between the east and west coasts of       sri lanka, transiting around the north end of the island in waters     subject to rebel attacks. reportedly the rebels gained access to       the ferry by issuing a distress signal which the ferry answered.       it is reported that on 7 sep the rebels freed 121 of approximately     144 passengers and crew.",pirate_assaults,vessel,viii,1995,08,28
29,29,-46.299999000296495,-23.9500009997109,24,thieves,merchant vessel,on 15 aug 95 a band of seven thieves boarded an unidentified           merchant ship while anchored off santos awaiting berth. the            thieves gained access to the ship using grappling hooks. the           thieves held the deckwatch at gunpoint while they broke into           seven containers. the incident lasted between 10-20 minutes            and there were no reports of items stolen.,pirate_assaults,merchant_vessel,v,1995,08,15
30,30,103.499999999646,7.500000000138191,93,pirates,anna sierra,"on 13 sep 95 approximately 25-30 pirates, armed with machine guns      and wearing masks, hijacked the cypriot-flagged general cargo ship     anna sierra in the gulf of thailand, 70nm southeast of bangkok.        the vessel was on a voyage from ko si chang, thailand to manila,       philippines carrying 12,000 tons of bagged sugar (us$4 million).       the master and 22 crewmembers were handcuffed in pairs and locked      in the engine room for two days before being set adrift in small       dinghies. on 16 sep the crew was rescued by a vietnamese fishing       vessel. prior to their removal the crew noticed the pirates changed    the vessel's name and repainted hatch covers and other easily          accessible areas of the ship. the pirates sailed the vessel to the     southern chinese port of beihai, where it arrived 20 sep carrying      an assumed identity (artic sea) and registration (honduran-            flagged).",pirate_assaults,vessel,xi,1995,08,13
31,31,48.000000000099,11.999999999834099,62,assailants,merchant vessel,"a bimco owner member reports an incident which took place off the      somali coast in the gulf of aden on 10 september 1994. the vessel      had sheltered off the coast during heavy weather. at 1538 hrs gmt      she was underway at a speed of 12.2 knots when an unmarked boat        about 20 metres in length, with a white hull and red                   superstructure, approached the vessel and began to fire without        warning.                                                                                                                                      the vessel under attack broadcast a mayday call, which resulted        with the pursuing boat making radio contact, claiming to be the        somali coast guard. assurances were made that the firing would         stop and the boat followed the vessel for a short time before          returning to the coast.",pirate_assaults,merchant_vessel,ix,1994,09,10
32,32,112.00000000037,16.500000000429303,93,pirates,fishing ship,"vietnam: on 31 july near position 16-30n 112-00e, the vietnam-flagged fishing ship qng 96507 ts reported that a group of pirates from three chinese ships boarded the fishing ship, attacked the crewmen and ransacked the ship in an area of the western paracel island group. the chinese ships were white and carried the numbers 46102, 45101 and 37102 on their hulls. several of the vietnamese fishermen were reportedly able to obtain photographs of the boarding and robbery as it occurred.",pirate_assaults,fishing_vessel,xi,2015,07,31
33,33,70.2166667001745,23.016666700086898,63,robbers,product tanker,"india: on 24 july, at 0445 local time, a duty watchman informed the duty officer on the bridge that two robbers had boarded an anchored product tanker via the forecastle near position  23-01n 070-13e, kandla port anchorage. the alarm was raised and the crew was mustered. seeing the crew's alertness, the robbers escaped with stolen ship's properties.",pirate_assaults,tanker,viii,2015,07,24
34,34,70.2166667001745,23.016666700086898,63,robbers,product tanker,"india: on 23 july, at 2345 local time, a duty officer on board an anchored product tanker noticed two robbers had boarded the ship using a ladder in a small boat near position 23-01n 070-13e, kandla port anchorage. ship's master raised the general alarm followed by a general loudspeaker announcement. all of the crew gathered on the forecastle deck. upon hearing the alarm and seeing crew's alertness, the robbers jumped overboard and escaped. nothing was reported stolen. the port control was informed and a security message was sent to all vessels on vhf channel-16.",pirate_assaults,tanker,viii,2015,07,23
35,35,101.98333330015,2.05000000027673,71,pirates,tanker,malaysia: malaysian authorities have located the tanker mt joaquim on 9 august near position  02-03n 101-59e in the malacca straits. the tanker was hijacked on 08 august and the oil cargo was stolen. two crew members were injured during the incident and are being evacuated from the tanker. the malaysian authorities are assisting with the return of the remaining crew members and the tanker.,pirate_assaults,tanker,xi,2015,08,08
36,36,103.56666670030899,1.1000000001110901,71,robbers,bulk carrier,"singapore strait: on 9 august near position 01-06n 103-34e, six robbers with long knives in a small fast boat boarded the stern of a bulk carrier underway. they entered the engine room and stole ship's spares. the duty crew sighted the robbers as the robbers were exiting the ship. the alarm was raised and the crew mustered. a search was carried out. engine spares were reported stolen. mpa singapore was notified. when the ship entered singapore anchorage, the coastguard boarded the ship for an investigation.",pirate_assaults,cargo_ship,xi,2015,08,09
37,37,101.000000000014,3.00000000044236,71,pirates,vietnamese,"from bimco weekly news, dated 27 july 1994:                            vietnamese border police have managed to make arrests in               eight cases of piracy during the first six months of 1994, the         vietnamese government has said.  some 28 cases of piracy have          been reported to the vietnamese authorities, with five people          killed as a result of the pirates' activities.  the vietnamese         have said that anti-piracy activities have been stepped up,            although most pirates active in vietnamese waters have come            from china, cambodia and thailand. a two day conference on piracy in kuala lumpur has also revealed that the use of phantom ships        and the hijacking of entire cargoes is on the increase.",pirate_assaults,other,xi,1994,06,01
38,38,120.583335999796,14.500000000364599,91,pirates,m/v gorno altaysk,m/v gorno altaysk while at anchor in manila bay was attacked by        pirates. two boat loads of pirates boarded the m/v during a storm.     pirates were able to get on board by climbing through the hole for     the anchor chain. guards posted on the m/v spotted them and opened     fire. a coast guard patrol boat heard the shooting and chased the      pirates away. nobody among the crew or coast guard was hurt. first     attack in manila bay in several years.,pirate_assaults,merchant_vessel,xi,1994,08,03
39,39,120.55000300020001,14.5166659996899,91,pirates,tug foku maru no. 8,five pirates armed with knives robbed the crew of their belongings     while the tug was in manila bay. two crewmen of the tug were           hurt in the attack.,pirate_assaults,tugboat,xi,1994,08,20
40,40,-40.3499979999231,-20.316667999818602,24,piratess,m/v alexandergracht,"dutch m/v alexandergracht was attacked by four armed pirates           with handguns in vitoria roads, brazil. no injuries or damage          to vessel. about 10,000 us dollars worth of cash/property              stolen from crew.",pirate_assaults,merchant_vessel,v,1994,08,14
41,41,-46.3666650003879,-23.9333320002473,24,pirates,m/v maersk la plata,"container vessel maersk la plata was invaded by 10 armed pirates       while at anchor in santos. pirates stole electronic equipment,         money and crew's belongings. pirates departed in two small boats.      no cargo from the containers was stolen.",pirate_assaults,merchant_vessel,v,1994,08,17
42,42,120.966667000166,14.6166670003688,91,pirates,tug fuku maru no. 8,"20 aug 94, tug fuku maru no. 8 was attacked by six pirates off         manila yacht basin in the philippines. pirates stole two radio         sets, compass, telescope and monies of various currencies from the     master. one of the pirates was a female and offered sex as bait.       pirates escaped towards the shantytown near manila north harbor.",pirate_assaults,tugboat,xi,1994,08,20
43,43,105.000000000144,2.49999999997652,71,pirates,major shipping,"south china sea.                                                                                                                              1. a liberian-registered petroleum gas tanker operated by a japanese   company was attacked august 6, 1989 by three sword-wielding pirates    off the anambas islands of indonesia while enroute to japan from the   united arab emirates. the pirates robbed the crew members of cash      and other valuables.                                                   2. on august 7, 1989 a panamanian-registered freighter operated by     a japanes-firm was attacked by four pirates off the same islands       while on the way to japan from singapore. pirates robbed the crew      of the 15000-ton freighter of cash and valuables.                      3. the pirates attacked by approaching the vessels in wooden high-     speed boats, avoiding detection by radar.                              4. greek and norwegian vessels were also pirated on august 8 and 9     respectively.                                                                                                                                 position given for reference only, not actual location of incident.",pirate_assaults,vessel,xi,1989,06,13
44,44,35.9999999997109,-20.000000000301398,61,unknown  terrorists,ocean star,"africa, west coast.                                                    the ocean star and another yacht were fired upon while sailing off     the mosambican coast, south of punta da barra de sousa.                the attack lasted 15 minutes. no personal or property damage           reported.                                                                                                                                     position given for reference only not actualy location of incident.",other,vessel,vii,1989,07,06
45,45,35.2499999999115,34.166667999563195,56,syria,sea tiger,lebanon.                                                               the lebanese yacht sea tiger and her crew of six were intercepted by   syrian gunboats off of lebanon's christian enclave and taken to the    port of tartous where they were questioned by syrian authorities.      the yacht and crew were released. no injuries reported.,navel_engagement,vessel,iii,1989,07,01
46,46,101.000000000014,2.49999999997652,71,pirates,american flag ship,"mariners are advised to use extreme caution when transiting the        strait of malacca and adjacent waters because of continued reports of  ships being boarded and robbed by armed pirates. on 29 january,'85     it was reported that an american flag ship was boarded by armed        pirates and robbed while transiting the malacca streit.                                                                                       position is for reference only not position of incident.",pirate_assaults,vessel,xi,1985,01,29
47,47,101.133331000151,11.916667000371401,93,unknown,unnamed vessel,"gulf of thailand.                                                      vessel reported being fired upon 201744z sept.1984, while in           position 11-55n 101-08e in vicinity of ko chuang island.",unknown,vessel,xi,1984,09,01
48,48,35.2499999999115,34.166666700042896,56,syrian gunboats,m tank aloil,"lebanon.                                                               m tank aloil broke through a syrian naval blockade to lebanon. she     discharged her cargo at jonieh, lebanon. the aloil sailed light 1215   july 9, 1989. while sailing in international waters the vessel was     shelled or torpedoed by the syrian navy, sustaining damage to her      engine room. the m tank aloil subsequently sunk.",navel_engagement,tanker,iii,1989,07,09
49,49,119.500000000163,5.99999999964007,92,unknown,unknown vessel,south sulu sea                                                         lloyds list of 15 may reports a 5000 ton ship outran two heavily       armed boats during a night time attack in the southern sulu sea on     4 may 1978. ship hit by hand grenades and rifle fire.                                                                                         position is for reference only not position of incident.,unknown,vessel,xi,1978,05,01
50,50,-17.3333333002736,14.5833333002009,51,pirates/thieves,esso languedonc,"at night while at anchor in above position, eight miles offshore       of dakkar, the vessel was boarded by an unknown number of persons.     the vessel had a bridge watch and all deck lights on.                  a mooring line and mooring tale, 800 kilos of paint, 7 fire            hoses, and some personal effects were stolen.  the captain             estimates it would have taken 8 men to remove the items.  there        were many fishing vessels in the general area, some without            navigation lights.  no injuries were reported.                                                                                                above received from exxon international.",pirate_assaults,vessel,ii,1989,06,11
51,51,105.49999999971001,3.48333299973814,71,pirates,unknown vessel,"south china sea, kepulauan anambas.                                    1, mariners are advised to be alert for pirates boarding or            attempting to board vessels while underway between singapore and       hong kong.                                                             2. a u.s. flag vessel was boarded in the vicinity of 03-29n 105-30e,   in september, 1988. no injuries reported.",pirate_assaults,vessel,xi,1988,09,01
52,52,114.999999999568,7.999999999704701,93,pirates,shipping,south east aisa.                                                       mariners are advised to be alert for the possibity of vessels being    boarded and hijaked by armed pirates while transiting through or       anchored in the waters of south east asia.                                                                                                                                                                           position is for refrence only not position of incident.,pirate_assaults,vessel,xi,1989,01,01
53,53,70.22499999976111,23.0361110999631,63,assailants,merchant vessel,"india, roads of kandla.                                                                                                                       the 4,159 gross ton liberian flagged tanker (normar splender) was      boarded by pirates at 0100 local time while it was in the roads of     kandla, india on 09 aug 97. upon hearing the ship's alarm the pirates  fled but were able to steal one television set. there were no          injuries reported.",pirate_assaults,merchant_vessel,viii,1997,08,09
54,54,70.21666699964871,23.0000000001898,63,assailants,merchant vessel,"india                                                                                                                                         the 4,159 gross ton liberian flagged tanker (normar splendour) was     boarded by pirates at 0100 local time while it was in the roads of     kandla, india on august 9, 1997. upon hearing the ship's alarm the     pirates fled but were able to steal one television set. there were no  injuries reported.",pirate_assaults,merchant_vessel,viii,1997,08,09
55,55,-46.299999000296495,-23.9500009997109,24,assailants,merchant vessel,"brazil, port santos.                                                                                                                          armed intruders held two crewmembers at gunpoint to gain access to     a safe aboard the 11,084 panamanian flagged cargo ship (tia angelica)  at santos. the attack occured at 0400 on 21 aug 97. at the time of     the attack the ship was alongside loading bagged sugar at sheds        16-17. four masked men forced open the door to the master's office     and gained access to his cabin by threatining to kill two crew         members they were holding at gunpoint. the robbers took $12,000 (us)   and medicine from the safe. the four attackers were reported as white  and their leader spoke english to the ship's master.",pirate_assaults,merchant_vessel,v,1997,08,21
56,56,81.01500000013691,8.94999999987033,63,assailants,merchant vessel,"sri lanka, pulmoddai.                                                                                                                         liberation tigers of tamil eelam (lite) attacked the 20,284 gross ton  panamanian-flag, chinese owned bulk carrier (cordiality) anchored off  pulmoddai, sri lanka at 0130 on 09 sep 97. the rebels attacked from    small boats using mortars and rocket propelled grenades. the ship was  set afire and was heavily dammaged in the accommodation and engine     rooms. five of the ship's crew of thirty-four are missing. two         soldiers guarding tthe ship and five dock workers were killed and      a further six soldiers were missing. sri lankana naval units           responded to the attack and engaged the rebel boats of which four      were destroyed with a loss of twenty-five rebel fighters.",pirate_assaults,merchant_vessel,viii,1997,09,09
57,57,79.4999999997687,6.78333330030836,63,assailants,merchant vessel,"sri lanka, colombo.                                                                                                                           the 16,500 gross ton german flagged container ship (fresena) was       attacked 06 sep 97 by robbers while at anchor off colombo, sri lanka.  an unknown number of persons were discovered on deck by the night      wathman at 0145 local time. the individuals, who were attempting to    break into a sealed container, fled when the searchlights and the      ship's whistle were activated. the colombo pilot station was informed  and a navy patrol vessel appeared shortly after.",pirate_assaults,merchant_vessel,viii,1997,09,06
58,58,79.84999799964291,6.94999999980564,63,assailants,merchant vessel,"indian ocean                                                                                                                                  the 8,957 gross ton malaysia flagged containership (bunga mas lima)    was boarded by thieves on july 11, 1997 while it was at anchor in      colombo, sri lanka. the boarding occured between the hours of 2100     and 2300 during a period of heavy rains and high wind. the deck had    been patrolled through the night by the ship's personnel but the       intruders broke into bay no. 3 at the foward part of the ship while    the patrol was at the aft section of the ship. five containers,        loaded on deck, were tampered with. two container lashings were        undone and doors were opened. three containers just had seals broken.  it could not be ascertained whether any contents had been removed      from any of the containers. there were no reports of confrontation or  contact between members of the crew and the intruders but it was       reported that a sri lankan navy patrol vessel had occasionally passed  near the ship during the night.",pirate_assaults,merchant_vessel,viii,1997,07,11
59,59,91.8166659995817,22.3166679996746,63,assailants,merchant vessel,"indian ocean                                                                                                                                  the 3,351 gross ton denmark flagged general cargo ship (star bird)     was boarded by pirates during the evening on july 26, 1997 while the   ship was anchored in the roads of chittagong, bangladesh. armed        pirates were discovered on board the ship at 2255 local time and the   ship's horn and piracy alarm were sounded. the crew also chased the    pirates and they apparently fled the ship. the report stated that the  boarding was carried out by two crews operating from two boats, one    forward and one aft. items reported to be stolen after the boarding    were three mooring ropes, a fire hose, six pairs of boots, three       raincoats, one set of heaving line, a fire nozzle, and a wrench. the   chittagong port control was called but there was no reaction from the  duty office. it was further reported that two other boardings took     place the same night but no details were provided in the report.",pirate_assaults,merchant_vessel,viii,1997,07,26
60,60,107.00000000020799,21.0000000001251,93,assailants,merchant vessel,"south east asia                                                                                                                               the 23,658 gross ton saint vincent flagged bulk carrier (argonaut)     was boarded and robbed by 12 armed men while it was loading coal from  barges in the outer anchorage of hongay, vietnam on july 8, 1997. the  robbers stole 40 drums of paint but the police were able to apprehend  the robbers, arrest them and return the paint on july 9, 1997.",pirate_assaults,merchant_vessel,xi,1997,07,08
61,61,-46.299999000296495,-23.9500009997109,24,thieves,uruguay express,"between 08 and 10 sep 95, while at anchor awaiting entry into the      port of santos, the uruguay-flagged containership uruguay express      was boarded by thieves. there were no personal injuries but the        thieves broke into ten containers.",pirate_assaults,vessel,v,1995,09,08
62,62,114.160003999833,22.1166670001616,93,pirates,herfah,"on 10 aug 95 pirates boarded the panamanian-flagged general            cargo ship herfah while at the south lamma anchorage, hong             kong in 22-07.0n 114-09.6e. one liferaft, four mooring ropes,          one lifebuoy and some tools were stolen.",pirate_assaults,vessel,xi,1995,08,10
63,63,119.999999999729,25.000000000254502,94,thieves,tsai hsing shun no.2,"on 01 jun 95 thieves in two chinese fishing vessels boarded the        taiwanese fishing vessel tsai hsing shun no.2 in the taiwan strait,    approximately 45nm off the west coast of taiwan. gold and cash were    stolen. no injuries to the five-member crew were reported.",pirate_assaults,vessel,xi,1995,06,01
64,64,113.549999999836,22.6666667001206,93,hijackers,guia,"on 13 jun 95 three to five gunmen, gaining access as passengers        in macau, hijacked the hong kong-bound hydrofoil ferry guia in the     mouth of the pearl river (zhujiang kou). the hijackers took control    of the bridge and diverted the ferry up the pearl river towards the    chinese island of qi ao, rendezvousing with a waiting speedboat.       money boxes holding hk$12 million (us$1.6 million) were removed from   the ferry. none of the 129 passengers were robbed.",pirate_assaults,vessel,xi,1995,06,13
