,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,Age,Nature,Reporting Type,Sex,Type of skill,Units
180055,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",36,Australia,2012,79.51602,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,NUME,PERCENT
180056,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",36,Australia,2012,87.04392,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,MALE,LITE,PERCENT
180057,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",36,Australia,2012,76.64972,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,FEMALE,NUME,PERCENT
180058,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",36,Australia,2012,82.37283,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,MALE,NUME,PERCENT
180059,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",36,Australia,2012,87.35749,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,FEMALE,LITE,PERCENT
180060,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",40,Austria,2012,84.997,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,MALE,LITE,PERCENT
180061,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",40,Austria,2012,83.85798,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,FEMALE,LITE,PERCENT
180062,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",40,Austria,2012,87.60377,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,MALE,NUME,PERCENT
180063,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",40,Austria,2012,84.42585,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,LITE,PERCENT
180064,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",40,Austria,2012,83.34751,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,FEMALE,NUME,PERCENT
180065,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",40,Austria,2012,85.46951,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,NUME,PERCENT
180066,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",50,Bangladesh,2011,51.3,2011,"National Assessment (NA): Literacy Assessment Survey (LAS); Proficient = Literate and Advanced; Literate at Initial Level; Not Proficient = SemiLiterate, NonLiterate Data extracted on 13 April 2021.",16-65,C,G,BOTHSEX,LITE,PERCENT
180067,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",50,Bangladesh,2011,47.9,2011,"National Assessment (NA): Literacy Assessment Survey (LAS); Proficient = Literate and Advanced; Literate at Initial Level; Not Proficient = SemiLiterate, NonLiterate Data extracted on 13 April 2021.",16-65,C,G,FEMALE,LITE,PERCENT
180068,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",50,Bangladesh,2011,54.6,2011,"National Assessment (NA): Literacy Assessment Survey (LAS); Proficient = Literate and Advanced; Literate at Initial Level; Not Proficient = SemiLiterate, NonLiterate Data extracted on 13 April 2021.",16-65,C,G,MALE,LITE,PERCENT
180069,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",51,Armenia,2013,98.9712,2013,Skills Towards Employability and Productivity (STEP) of World Bank Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,LITE,PERCENT
180070,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",56,Belgium,2012,85.91872,2012,Flemish Region only. Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,NUME,PERCENT
180071,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",56,Belgium,2012,86.11456,2012,Flemish Region only. Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,MALE,LITE,PERCENT
180072,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",56,Belgium,2012,83.37262,2012,Flemish Region only. Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,FEMALE,NUME,PERCENT
180073,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",56,Belgium,2012,88.40691,2012,Flemish Region only. Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,MALE,NUME,PERCENT
180074,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",56,Belgium,2012,84.28462,2012,Flemish Region only. Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,FEMALE,LITE,PERCENT
180075,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",56,Belgium,2012,85.21011,2012,Flemish Region only. Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,LITE,PERCENT
180076,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",62,Central and Southern Asia,2020,56.50806,2015-2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,16-65,E,G,MALE,LITE,PERCENT
180077,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",62,Central and Southern Asia,2020,53.72393,2015-2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,16-65,E,G,BOTHSEX,LITE,PERCENT
180078,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",62,Central and Southern Asia,2020,73.47719,2015-2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,16-65,E,G,FEMALE,NUME,PERCENT
180079,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",62,Central and Southern Asia,2020,50.93979,2015-2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,16-65,E,G,FEMALE,LITE,PERCENT
180080,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",62,Central and Southern Asia,2020,72.87047,2015-2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,16-65,E,G,MALE,NUME,PERCENT
180081,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",62,Central and Southern Asia,2020,73.17383,2015-2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,16-65,E,G,BOTHSEX,NUME,PERCENT
180082,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",68,Bolivia (Plurinational State of),2012,84.4739,2012,Skills Towards Employability and Productivity (STEP) of World Bank Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,LITE,PERCENT
180083,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",124,Canada,2012,83.47287,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,LITE,PERCENT
180084,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",124,Canada,2012,83.22706,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,FEMALE,LITE,PERCENT
180085,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",124,Canada,2012,80.51837,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,MALE,NUME,PERCENT
180086,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",124,Canada,2012,74.38134,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,FEMALE,NUME,PERCENT
180087,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",124,Canada,2012,83.71857,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,MALE,LITE,PERCENT
180088,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",124,Canada,2012,77.45051,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,NUME,PERCENT
180089,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",144,Sri Lanka,2012,86.9937,2012,Skills Towards Employability and Productivity (STEP) of World Bank Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,LITE,PERCENT
180090,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",152,Chile,2015,46.4913,2015,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,LITE,PERCENT
180091,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",152,Chile,2015,44.57371,2015,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,MALE,NUME,PERCENT
180092,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",152,Chile,2015,44.02852,2015,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,FEMALE,LITE,PERCENT
180093,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",152,Chile,2015,31.22895,2015,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,FEMALE,NUME,PERCENT
180094,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",152,Chile,2015,48.95728,2015,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,MALE,LITE,PERCENT
180095,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",152,Chile,2015,37.89699,2015,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,NUME,PERCENT
180096,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",170,Colombia,2012,95.6689,2012,Skills Towards Employability and Productivity (STEP) of World Bank Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,LITE,PERCENT
180097,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",196,Cyprus,2012,83.56026,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,MALE,NUME,PERCENT
180098,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",196,Cyprus,2012,81.21509,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,NUME,PERCENT
180099,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",196,Cyprus,2012,79.10392,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,FEMALE,NUME,PERCENT
180100,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",196,Cyprus,2012,84.94484,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,MALE,LITE,PERCENT
180101,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",196,Cyprus,2012,85.60425,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,LITE,PERCENT
180102,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",196,Cyprus,2012,86.19786,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,FEMALE,LITE,PERCENT
180103,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",203,Czechia,2012,87.06574,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,NUME,PERCENT
180104,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",203,Czechia,2012,85.09798,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,FEMALE,NUME,PERCENT
180105,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",203,Czechia,2012,88.66247,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,MALE,LITE,PERCENT
180106,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",203,Czechia,2012,87.58601,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,FEMALE,LITE,PERCENT
180107,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",203,Czechia,2012,88.12896,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,LITE,PERCENT
180108,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",203,Czechia,2012,88.99929,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,MALE,NUME,PERCENT
180109,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",208,Denmark,2012,84.60281,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,FEMALE,NUME,PERCENT
180110,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",208,Denmark,2012,85.70948,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,NUME,PERCENT
180111,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",208,Denmark,2012,86.80216,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,MALE,NUME,PERCENT
180112,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",208,Denmark,2012,85.60064,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,FEMALE,LITE,PERCENT
180113,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",208,Denmark,2012,84.23915,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,LITE,PERCENT
180114,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",208,Denmark,2012,82.89488,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,MALE,LITE,PERCENT
180115,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",218,Ecuador,2017,19.99148,2017,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,FEMALE,NUME,PERCENT
180116,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",218,Ecuador,2017,29.0359,2017,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,MALE,LITE,PERCENT
180117,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",218,Ecuador,2017,28.49709,2017,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,LITE,PERCENT
180118,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",218,Ecuador,2017,22.84824,2017,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,NUME,PERCENT
180119,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",218,Ecuador,2017,27.98976,2017,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,FEMALE,LITE,PERCENT
180120,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",218,Ecuador,2017,25.88229,2017,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,MALE,NUME,PERCENT
180121,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",233,Estonia,2012,84.76597,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,FEMALE,NUME,PERCENT
180122,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",233,Estonia,2012,86.93386,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,LITE,PERCENT
180123,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",233,Estonia,2012,85.65058,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,NUME,PERCENT
180124,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",233,Estonia,2012,87.48161,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,FEMALE,LITE,PERCENT
180125,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",233,Estonia,2012,86.61527,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,MALE,NUME,PERCENT
180126,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",233,Estonia,2012,86.33652,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,MALE,LITE,PERCENT
180127,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",246,Finland,2012,87.16763,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,NUME,PERCENT
180128,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",246,Finland,2012,89.38965,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,LITE,PERCENT
180129,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",246,Finland,2012,88.50472,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,MALE,LITE,PERCENT
180130,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",246,Finland,2012,86.18579,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,FEMALE,NUME,PERCENT
180131,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",246,Finland,2012,88.13833,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,MALE,NUME,PERCENT
180132,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",246,Finland,2012,90.28474,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,FEMALE,LITE,PERCENT
