,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Observation Status,Reporting Type,Units
18352,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),13,Central America,2020,5,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18353,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),14,Eastern Africa,2018,4,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18354,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),14,Eastern Africa,2020,5,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18355,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),15,Northern Africa,2018,4,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18356,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),15,Northern Africa,2020,,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,"No, or not enough, reporting States to create an aggregated score for this regional grouping",,O,G,NUMBER
18357,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),16,American Samoa,2018,N,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,"Not FAO Member State; The figure is not available because the indicator—as defined for the global monitoring—does not apply to the circumstances of the specific country, and therefore is not reported",N,O,G,NUMBER
18358,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),16,American Samoa,2020,N,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,"Not FAO Member State; The figure is not available because the indicator—as defined for the global monitoring—does not apply to the circumstances of the specific country, and therefore is not reported",N,O,G,NUMBER
18359,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),17,Middle Africa,2018,4,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18360,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),17,Middle Africa,2020,,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,"No, or not enough, reporting States to create an aggregated score for this regional grouping",,O,G,NUMBER
18361,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),18,Southern Africa,2018,3,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18362,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),18,Southern Africa,2020,2,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18363,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),19,Americas,2018,4,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18364,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),19,Americas,2020,4,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18365,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),20,Andorra,2018,N,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,"The figure is not available because the indicator—as defined for the global monitoring—does not apply to the circumstances of the specific country, and therefore is not reported",N,O,G,NUMBER
18366,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),20,Andorra,2020,,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,"A figure was not provided, or the method by which the figure was calculated is unknown",,O,G,NUMBER
18367,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),21,Northern America,2018,4,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18368,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),21,Northern America,2020,,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,"No, or not enough, reporting States to create an aggregated score for this regional grouping",,O,G,NUMBER
18369,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),24,Angola,2018,,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,"A figure was not provided, or the method by which the figure was calculated is unknown",,O,G,NUMBER
18370,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),24,Angola,2020,5,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18371,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),28,Antigua and Barbuda,2018,5,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18372,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),28,Antigua and Barbuda,2020,5,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18373,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),29,Caribbean,2018,4,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18374,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),29,Caribbean,2020,4,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18375,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),30,Eastern Asia,2018,3,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18376,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),30,Eastern Asia,2020,4,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18377,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),31,Azerbaijan,2018,3,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18378,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),31,Azerbaijan,2020,,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,The figure has not been validated by the national statistical system for global reporting.,,V,G,NUMBER
18379,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),32,Argentina,2018,,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,The figure has not been validated by the national statistical system for global reporting.,,V,G,NUMBER
18380,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),32,Argentina,2020,2,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18381,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),34,Southern Asia,2018,4,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18382,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),34,Southern Asia,2020,2,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18383,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),35,South-Eastern Asia,2018,4,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18384,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),35,South-Eastern Asia,2020,4,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18385,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),36,Australia,2018,N,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,"The figure is not available because the indicator—as defined for the global monitoring—does not apply to the circumstances of the specific country, and therefore is not reported",N,O,G,NUMBER
18386,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),36,Australia,2020,N,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,"The figure is not available because the indicator—as defined for the global monitoring—does not apply to the circumstances of the specific country, and therefore is not reported",N,O,G,NUMBER
18387,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),39,Southern Europe,2018,4,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18388,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),39,Southern Europe,2020,4,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18389,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),40,Austria,2018,4,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Indicator developped upon responses provided by the EU,C,A,G,NUMBER
18390,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),40,Austria,2020,4,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Indicator developped upon responses provided by the EU; Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18391,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),44,Bahamas,2018,4,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18392,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),44,Bahamas,2020,,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,"A figure was not provided, or the method by which the figure was calculated is unknown",,O,G,NUMBER
18393,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),48,Bahrain,2018,,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,"A figure was not provided, or the method by which the figure was calculated is unknown",,O,G,NUMBER
18394,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),48,Bahrain,2020,,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,"A figure was not provided, or the method by which the figure was calculated is unknown",,O,G,NUMBER
18395,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),50,Bangladesh,2018,3,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18396,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),50,Bangladesh,2020,,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,"A figure was not provided, or the method by which the figure was calculated is unknown",,O,G,NUMBER
18397,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),51,Armenia,2018,2,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18398,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),51,Armenia,2020,N,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,"The figure is not available because the indicator—as defined for the global monitoring—does not apply to the circumstances of the specific country, and therefore is not reported",N,O,G,NUMBER
18399,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),52,Barbados,2018,,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,"A figure was not provided, or the method by which the figure was calculated is unknown",,O,G,NUMBER
18400,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),52,Barbados,2020,,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,"A figure was not provided, or the method by which the figure was calculated is unknown",,O,G,NUMBER
18401,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),53,Australia and New Zealand,2018,3,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18402,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),53,Australia and New Zealand,2020,,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,"No, or not enough, reporting States to create an aggregated score for this regional grouping",,O,G,NUMBER
18403,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),54,Melanesia,2018,4,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18404,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),54,Melanesia,2020,,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,"No, or not enough, reporting States to create an aggregated score for this regional grouping",,O,G,NUMBER
18405,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),56,Belgium,2018,4,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Indicator developped upon responses provided by the EU,C,A,G,NUMBER
18406,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),56,Belgium,2020,4,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Indicator developped upon responses provided by the EU; Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18407,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),57,Micronesia,2018,4,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18408,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),57,Micronesia,2020,3,2020,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,Level of implementation: 1 lowest to 5 highest,C,A,G,NUMBER
18409,14,14.b,14.b.1,ER_REG_SSFRAR,Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest),60,Bermuda,2018,N,2018,Questionnaire on the implementation of the Code of Conduct for Responsible Fisheries - Country self-reporting ,"Not FAO Member State; The figure is not available because the indicator—as defined for the global monitoring—does not apply to the circumstances of the specific country, and therefore is not reported",N,O,G,NUMBER
