,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Education level,Nature,Reporting Type,Sex,Units
197017,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2016,85.2926,2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,SECOND,E,G,BOTHSEX,PERCENT
197018,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2017,85.99445,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,FEMALE,PERCENT
197019,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2017,81.60149,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,MALE,PERCENT
197020,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2017,86.10026,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,SECOND,E,G,BOTHSEX,PERCENT
197021,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2017,84.48462,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,BOTHSEX,PERCENT
197022,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2018,82.69824,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,MALE,PERCENT
197023,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2018,85.31528,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,FEMALE,PERCENT
197024,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2018,84.43733,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,BOTHSEX,PERCENT
197025,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2019,77.96995,2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,SECOND,E,G,BOTHSEX,PERCENT
197026,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2019,81.04667,2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,BOTHSEX,PERCENT
197027,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2019,81.45981,2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,FEMALE,PERCENT
197028,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2019,80.21288,2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,MALE,PERCENT
197029,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,2018,59.39298,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,C,G,FEMALE,PERCENT
197030,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,2018,0.0,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,This data point is NOT APPLICABLE for the submitting nation.,PREPRI,C,G,MALE,PERCENT
197031,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,2018,85.82278,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,C,G,BOTHSEX,PERCENT
197032,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,2018,90.90579,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,FEMALE,PERCENT
197033,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,2018,85.82278,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,C,G,FEMALE,PERCENT
197034,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,2018,89.92081,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,BOTHSEX,PERCENT
197035,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,2018,84.3686,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,MALE,PERCENT
197036,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,2018,49.04714,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,C,G,MALE,PERCENT
197037,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",8,Albania,2018,55.97,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,C,G,BOTHSEX,PERCENT
197038,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2000,96.6515,2000,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,FEMALE,PERCENT
197039,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2000,92.91404,2000,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,MALE,PERCENT
197040,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2000,94.63773,2000,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,BOTHSEX,PERCENT
197041,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2001,95.67702,2001,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,BOTHSEX,PERCENT
197042,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2001,94.24977,2001,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,MALE,PERCENT
197043,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2001,97.3095,2001,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,FEMALE,PERCENT
197044,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2002,98.24667,2002,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,FEMALE,PERCENT
197045,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2002,96.09818,2002,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,MALE,PERCENT
197046,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2002,97.12654,2002,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,BOTHSEX,PERCENT
197047,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2003,97.91976,2003,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,BOTHSEX,PERCENT
197048,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2003,97.09641,2003,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,MALE,PERCENT
197049,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2003,98.78963,2003,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,FEMALE,PERCENT
197050,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2004,99.0579,2004,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,FEMALE,PERCENT
197051,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2004,97.64026,2004,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,MALE,PERCENT
197052,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2004,98.3456,2004,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,BOTHSEX,PERCENT
197053,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2005,98.52628,2005,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,BOTHSEX,PERCENT
197054,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2005,98.09629,2005,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,MALE,PERCENT
197055,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2005,98.94784,2005,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,FEMALE,PERCENT
197056,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2006,99.59681,2006,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,FEMALE,PERCENT
197057,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2006,98.91706,2006,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,MALE,PERCENT
197058,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2006,99.26722,2006,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,BOTHSEX,PERCENT
197059,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2007,98.85815,2007,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,BOTHSEX,PERCENT
197060,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2007,99.64142,2007,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,MALE,PERCENT
197061,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2007,98.1627,2007,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,FEMALE,PERCENT
197062,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2014,100.0,2014,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,BOTHSEX,PERCENT
197063,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2014,100.0,2014,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,FEMALE,PERCENT
197064,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2014,100.0,2014,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,MALE,PERCENT
197065,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2015,100.0,2015,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,BOTHSEX,PERCENT
197066,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2015,100.0,2015,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,MALE,PERCENT
197067,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",12,Algeria,2015,100.0,2015,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,FEMALE,PERCENT
197068,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2004,96.14657,2004,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,E,G,MALE,PERCENT
197069,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2004,98.51317,2004,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,E,G,FEMALE,PERCENT
197070,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2004,97.9329,2004,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,E,G,BOTHSEX,PERCENT
197071,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2004,98.4916,2004,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,BOTHSEX,PERCENT
197072,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2005,98.20889,2005,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,BOTHSEX,PERCENT
197073,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2005,97.2436,2005,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,E,G,BOTHSEX,PERCENT
197074,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2005,96.73415,2005,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,E,G,FEMALE,PERCENT
197075,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2005,99.04287,2005,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,E,G,MALE,PERCENT
197076,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2006,95.70212,2006,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,E,G,MALE,PERCENT
197077,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2006,96.46715,2006,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,E,G,FEMALE,PERCENT
197078,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2006,96.30078,2006,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,E,G,BOTHSEX,PERCENT
197079,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2006,98.08288,2006,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,BOTHSEX,PERCENT
197080,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2007,95.39203,2007,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,E,G,FEMALE,PERCENT
197081,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2007,98.49662,2007,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,E,G,MALE,PERCENT
197082,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2007,97.98838,2007,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,BOTHSEX,PERCENT
197083,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2007,95.89175,2007,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,E,G,BOTHSEX,PERCENT
197084,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2008,96.30926,2008,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,E,G,MALE,PERCENT
197085,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2008,95.05054,2008,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,E,G,FEMALE,PERCENT
197086,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2008,95.24016,2008,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,E,G,BOTHSEX,PERCENT
197087,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2012,84.58015,2012,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,E,G,BOTHSEX,PERCENT
197088,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2012,83.55609,2012,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,E,G,FEMALE,PERCENT
197089,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2012,84.70044,2012,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,FEMALE,PERCENT
197090,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2012,91.63477,2012,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,E,G,MALE,PERCENT
197091,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2012,81.46468,2012,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,FEMALE,PERCENT
197092,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2012,79.35683,2012,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,BOTHSEX,PERCENT
197093,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2012,77.42587,2012,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,MALE,PERCENT
197094,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2012,83.10501,2012,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,MALE,PERCENT
197095,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2012,84.039,2012,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,BOTHSEX,PERCENT
197096,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2013,82.21421,2013,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,BOTHSEX,PERCENT
197097,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2013,81.66845,2013,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,MALE,PERCENT
197098,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2013,75.24982,2013,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,MALE,PERCENT
197099,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2013,76.66032,2013,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,BOTHSEX,PERCENT
197100,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2013,78.19412,2013,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,FEMALE,PERCENT
197101,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2013,92.05432,2013,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,E,G,MALE,PERCENT
197102,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2013,82.5856,2013,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,FEMALE,PERCENT
197103,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2013,80.62296,2013,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,E,G,FEMALE,PERCENT
197104,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2013,82.08194,2013,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,E,G,BOTHSEX,PERCENT
197105,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2014,85.97629,2014,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,MALE,PERCENT
197106,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2014,86.60069,2014,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,BOTHSEX,PERCENT
197107,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2014,81.97507,2014,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PREPRI,E,G,BOTHSEX,PERCENT
197108,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2014,87.00948,2014,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,FEMALE,PERCENT
197109,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2014,83.32452,2014,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,FEMALE,PERCENT
197110,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2014,81.34259,2014,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,BOTHSEX,PERCENT
197111,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",15,Northern Africa,2014,79.50918,2014,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,MALE,PERCENT
